ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURAÇAO,ASSENTOS
1,-46700538,-23557571,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Álvaro Guerra,,"R. Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,1,1,1955/05/15,
2,-46712270,-23441676,355030842000289,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,Érico Veríssimo,,"Rua Diógenes Dourado, 101",3972-0450,Parada Taipas,02815-14,1,1,1986/09/15,
3,-46610957,-23526216,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo (junção com a homônima Adelpha Figueiredo),,"Pça. Ilo Otani, 146",292-3439,Canindé,03028-00,1,1,1966/10/06,
4,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R. Cojuba, 45",3078-6352,Itaim,04533-04,1,1,1946/01/25,
5,-46707914,-23650236,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Belmonte (antiga Benedito Bastos Barreto),,"Rua Paulo Eiró, 525",5687-0408,Santo Amaro,04754-01,1,1,1953/01/25,
6,-46737742,-23575414,355030812000019,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Camila Cerqueira César,,"R. Waldemar Sanches, 41",3731-5210,Butantã,05589-05,1,1,1988/11/06,
7,-46590081,-23630984,355030868000054,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Castro Alves,,"R. Abrahão Mussa, s/n",6946-4562,Jd. Patente,04256-19,1,1,1988/11/06,
8,-46709740,-23530132,355030848000023,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Cecília Meireles,,"R. Araçatuba, 522",3834-0004,V. Romana,05058-01,1,1,1956/09/07,
9,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Dr. Joaquim José de Carvalho (Centro Cultural Jabaquara -Jacob Salvador Zveibil),,"R. Arsênio Tavolieri, 45",5011-8819,Jabaquara,04321-03,1,1,1980/07/12,
10,-46623240,-23583377,355030890000044,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Chácara do Castelo,,"R. Brás Lourenço, 333",5573-4929,Jd. da Glória,04113-11,1,1,1956/09/07,
11,-46701146,-23535156,355030848000044,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Clarice Lispector,,"R. Jaricunas, 458",3672-1423,Vila Ipojuca,05053-07,1,1,1956/09/07,
12,-46409170,-23544924,355030831000036,3550308005264,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,Cora Coralina,,"R. Otelo A. Ribeiro, 113",6557-8004,Guaianases,08461-00,1,1,1966/05/21,
13,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Gibiteca Municipal Henfil - Centro Cultural São Paulo,,"Rua Vergueiro, 1.000",3277-3611,Paraíso,01504-00,1,1,1991/05/03,
14,-46571892,-23535604,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Hans Christian Andersen,,"Av. Celso Garcia, 4.142",2295-3447,Tatuapé,03064-00,1,1,1952/07/09,
15,-46564291,-23476408,355030839000101,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,José Mauro de Vasconcelos,,"Pça. Cmte. Eduardo Oliveira, s/n",6242-8196,Parque Edu Chaves,02233-06,1,1,1991/09/06,
16,-46540077,-23571307,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,"José Paulo Paes (antigo Vila Formosa, junção de Guilherme de Almeida e Sra. Leandro Duprê)",,"Av. Renata, 163",6211-1508,V. Formosa,03377-00,1,1,1971/12/17,
17,-46484327,-23546255,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Jovina Rocha Álvares Pessoa (junção com Plínio Ayrosa),,"Av. Padre Francisco de Toledo, 331 - Cohab I",6741-7371,Itaquera,03590-12,1,1,1982/01/24,
18,-46533492,-23546748,355030820000011,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,Lenyra Fraccaroli,,"Pça. Haroldo Daltro, 451",2295-2295,Vila Manchester,03444-09,1,1,1956/09/07,
19,-46709218,-23688957,355030879000023,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,Malba Tahan,,"R. Brás Pires Meira, 100",5523-4556,Veleiros,04784-15,1,1,1987/12/09,
20,-46756720,-23617836,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Marcos Rey  (antigo Campo Limpo),,"Av. Anacã, 92",5845-2572,Jd. Umarizal,05755-09,1,1,1981/07/12,
21,-46672511,-23496869,355030850000006,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Menotti Del Picchia,,"R. São Romualdo, 382",3966-4814,Limão,02557-06,1,1,1992/09/25,
22,-46648948,-23544333,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Monteiro Lobato,,"R. General Jardim, 485",3256-4122,V. Buarque,01223-01,1,1,1936/04/14,
23,-46626707,-23496576,355030870000015,3550308005063,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Narbal Fontes,,"Av. Cons. Moreira de Barros, 170",6973-4461,Santana,02018-01,1,1,1954/03/27,
24,-46628955,-23572350,355030849000023,3550308005007,49,LIBERDADE,9,SE,Centro,Centro,Raul Bopp (antiga Ophélia França),,"R. Muniz de Souza, 1.155",3208-1895,Aclimação,01534-00,1,1,1961/02/21,
25,-46740634,-23484700,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Orígenes Lessa,,"Av. Mutinga, 1.425",3904-2476,Pirituba,05110-00,1,1,1965/03/04,
26,-46592007,-23503463,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Pablo Neruda,,Pça. Joaquim José da Nova s/n,6954-2813,Vila Maria,02126-00,1,1,1956/09/07,
27,-46754577,-23406650,355030861000010,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,Padre José de Anchieta,,"R. Antônio Maia, 651",3917-0751,Perus,05204-11,1,1,1966/09/03,
28,-46572456,-23552253,355030801000118,3550308005039,01,AGUA RASA,25,MOOCA,Leste,Leste 1,Paulo Sérgio Milliet,,Pça. Ituzaingó s/n,6671-4974,Moóca,03334-02,1,1,1956/09/07,
29,-46580357,-23539338,355030880000121,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Prof. Arnaldo Magalhães Giocomo,,"R. Restinga, 136",2295-0785,Tatuapé,03065-02,1,1,1956/09/07,
30,-46582781,-23581385,355030893000064,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,Ricardo Ramos,,"Pça. Centenário de Vila Prudente, 25",2273-4860,Vila Prudente,03132-05,1,1,1956/09/07,
